row_type,twitter_user_id,referenced_author_id,engagement_count,referenced_author_username,reference_author_name,reference_author_type,reference_author_individual_or_organization,reference_author_web3_relevance,reference_author_nft_relevance,reference_author_user_region_tag_all_time,reference_author_user_region_tag_l6m
AGGREGATED_ENGAGEMENT,0,23290226,485,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,24492604,867,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,34633333,798,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,37166653,116,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,7413236,9,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,30517590,286,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,15239967,633,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,26692774,972,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,30197492,540,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,37045966,242,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,14104883,472,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,13607204,981,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,18397305,492,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,18740176,951,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,19384059,205,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,13129722,167,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,27692670,338,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,37966,536,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,4715760,324,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,39624788,672,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,132516,809,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,8165752,604,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,1696199,920,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,14925916,77,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,8236992,647,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
AGGREGATED_ENGAGEMENT,0,11346760,950,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
